Administrative_Duration;Informational_Duration;ProductRelated_Duration;BounceRates;SpecialDay;NewVisitor;PageValues;Revenue
279.4166667;0;1553.583333;0.009;0;0;38.30849268;0
0;0;706.5;0;0;0;0;0
0;0;0;0.2;0;0;0;0
87.83333333;0;798.3333333;0;0.8;0;22.9160357;1
44;0;6951.972222;0.002150538;0;0;0;0
0;0;0;0.2;0.6;0;0;0
0;0;902;0;0;0;0;0
0;0;0;0.2;0.2;0;0;0
0;0;0;0.2;0;0;0;0
0;0;197.3777778;0.025;0;0;0;0
0;0;43;0;0.4;0;0;0
0;0;426.6666667;0;0;0;0;0
0;0;135;0;0;0;0;0
0;0;588.3333333;0;0;0;0;0
1005.666667;0;2111.341667;0.004347826;0;0;11.43941195;1
0;0;76;0;0.6;0;0;0
0;0;0;0.2;1;0;0;0
0;0;0;0.2;0.4;0;0;0
0;0;208;0;0;0;0;0
0;0;270;0;0.8;0;0;0
0;0;39.5;0;0;0;0;0
0;0;375;0.016666667;0;0;0;0
0;0;0;0.2;0.8;0;0;0
0;0;0;0.2;0;0;0;0
0;0;150;0.057142857;0;0;0;0
0;0;138;0;0;0;0;0
0;0;337.5;0.028571429;0.4;0;0;0
0;0;620.0333333;0;0;0;0;0
36;0;168.8461538;0;0.4;0;0;0
0;0;0;0.2;0;0;0;0
0;0;52;0;0;0;0;0
0;0;649.25;0;0;1;0;0
0;0;925.3333333;0.003703704;0.6;0;0;0
0;0;33;0;0.2;0;0;0
0;0;1566.5;0.05;0.2;0;0;0
0;0;105;0;0.6;0;0;0
0;0;50;0.038095238;0.6;0;0;0
0;0;644.2;0.004166667;0;0;0;0
18.33333333;0;2635.177778;0;0.4;0;0;0
61;0;607;0;1;0;17.53595893;1
0;0;415;0;0.4;0;0;0
31;16;2083.530952;0;0.8;0;0;0
58.5;0;281.6666667;0.007058824;0;0;0;0
0;0;27;0.15;0;0;0;0
0;0;215;0.044444444;0.8;0;0;0
0;0;162;0.05;0;0;0;0
0;0;114;0.05;0.8;0;0;0
326.25;94;5062.213753;0.000854701;0;0;0;0
0;0;253;0;0.6;0;0;0
0;0;0;0.2;0.4;0;0;0
0;0;0;0.2;0.8;0;0;0
22;0;436.5;0.008;0.2;0;0;0
0;93;1045.833333;0.012903226;0.2;0;0;0
0;0;317.8333333;0;0;0;0;0
0;0;1146.333333;0;0.8;0;0;0
0;0;577;0.018181818;0.2;0;0;0
0;0;95;0;0;0;0;0
0;0;301.5;0;0;0;0;0
0;0;243;0;0;0;0;0
0;0;135.5;0;0.6;0;0;0
0;75;442.3333333;0;0.8;0;0;0
0;0;41;0;0;0;0;0
0;0;292.9;0.028;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;1238.333333;0;0.4;0;0;0
0;0;225.4666667;0;0.4;0;0;0
462;0;1873.216667;0;0.6;0;0;0
0;0;13;0.133333333;0;0;0;0
0;0;222;0;0;0;0;0
20;0;214.8333333;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;2017.166667;0;0.8;0;0;0
111.5;0;449.0277778;0;0.6;0;0;0
0;0;158.1666667;0;0;0;0;0
0;0;303.6666667;0.005555556;0;0;0;0
0;0;25;0;0;0;0;0
0;0;42;0.05;0.4;0;0;0
103.625;0;1003.416667;0;0.2;0;0;0
0;0;0;0.2;0;0;0;0
0;0;272.5;0;0.2;0;0;0
19;0;344;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;19;852;0;0;0;0;0
0;0;780;0.066666667;0.4;0;0;0
0;0;1038;0;0;0;0;0
0;0;573;0;0;0;0;0
0;0;1231.233333;0.007142857;0;0;0;0
0;0;316.6666667;0;0.8;0;0;0
0;0;873.7365079;0.0075;0;0;0;0
0;0;0;0.2;0.4;0;0;0
0;0;16;0.1;0;0;0;0
0;0;615;0;0.2;0;0;0
0;0;261.75;0;0;0;0;0
0;0;615.8831169;0.033333333;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;117.5;0;0.8;0;0;0
0;0;0;0.2;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;501.6666667;0.008695652;0.6;0;0;0
58;22;829.1666667;0.03030303;0;0;0;0
9.5;0;1223;0.015217391;0;0;0;0
0;0;467;0;0.4;0;0;0
0;0;737.1666667;0.008695652;0.6;0;0;0
0;0;129;0;0;0;0;0
0;0;63;0;0;0;0;0
0;0;125;0.086666667;0;0;0;0
0;0;684.3333333;0.018181818;0;0;0;0
0;0;665.4722222;0;0.8;0;0;0
0;0;487.5;0;0.8;0;0;0
0;0;437.1666667;0.011111111;0;0;0;0
0;0;55;0.066666667;0.6;0;0;0
0;0;0;0.2;0.8;0;0;0
41.3;0;446.9277778;0;1;0;0;0
87;0;320.5;0;0;0;0;0
0;0;666;0;0;0;0;0
0;0;405.7095238;0.010743802;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;163.25;0.033333333;0.6;0;0;0
0;0;284.25;0;0;0;0;0
0;0;0;0.2;0.6;0;0;0
0;0;0;0.2;0;0;0;0
0;0;260;0.008333333;0.8;0;0;0
0;1210.397619;279.8571429;0.003174603;0;0;0;0
0;0;927.45;0.011111111;0;0;8.000740741;0
9;0;836.8;0;0;0;0;0
293.7782051;153;3283.166739;0.001960784;0;0;0;0
111.5;48.5;1868.819697;0;0;0;1.706014966;1
47;51;3008.124108;0.007142857;0;0;46.53017511;0
0;0;0;0.2;0;0;0;0
1226;3;3230.25;0.036190476;0;0;0;0
52;0;319;0;0;0;0;0
0;0;42;0;0;0;0;0
0;0;354.3333333;0.009090909;0;0;0;0
0;0;3556.61241;0.002061856;0;0;0;0
56;144;2563.783333;0;0;1;19.34265017;1
112.9607843;0;3014.018519;0.013068182;0;0;0;0
0;0;840.2333333;0;0;1;109.176;1
94;125;1970.844805;0;0;1;96.25511582;1
32;0;2867;0;0;0;153.4432478;1
0;0;43;0;0;0;0;0
218;0;284.5;0;0;1;0;0
0;0;133.5;0;0;0;0;0
119;0;297.6666667;0;0;0;0;0
281;0;453.75;0;0;1;0;0
18;0;1331.75;0;0;1;33.79956701;1
40;0;558.5;0;0;1;0;0
107;0;145.8333333;0;0;1;0;0
0;0;731;0;0;0;0;0
49;127;188;0.033333333;0;0;0;0
0;0;565.3333333;0.037619048;0;0;0;0
0;0;50;0;0;0;0;0
57;0;591;0.006666667;0;0;0;0
2;261;281;0;0;0;0;0
123;306.3333333;483.8333333;0;0;0;0;0
118;0;42;0;0;0;0;0
0;0;1192.386111;0.005714286;0;0;0;0
0;0;198;0.016666667;0;0;0;0
0;0;15;0;0;0;0;0
38;0;643;0;0;0;35.0928;1
0;0;23;0.08;0;0;0;0
0;0;14;0.1;0;0;0;0
54;0;210.5;0;0;1;0;0
993;0;1529.30467;0.001481481;0;0;0;0
0;0;19;0;0;0;0;0
74.25;84;1599.083333;0;0;0;0;0
0;0;102.5;0;0;0;0;0
0;0;2337;0;0;0;17.76266667;1
0;0;1883.5;0.010526316;0;0;0;0
32;0;1245.3;0.004;0;0;7.146260888;0
666.8333333;0;1674.583333;0;0;0;0;0
0;0;132;0.011111111;0;0;0;0
73;740;1434.255128;0;0;0;22.03276923;0
154;0;367.25;0.005263158;0;0;0;0
49.33333333;303.25;148.5;0;0;0;0;0
118.5;0;1482.210784;0.006896552;0;0;0;0
153.5;0;1048.492063;0.011578947;0;0;0;0
0;0;478;0;0;0;0;0
0;0;980.25;0;0;0;0;0
72.25;21.5;1124.693074;0.022807018;0;0;0;0
24.5;0;353.1666667;0.018181818;0;0;0;0
0;0;1489.083333;0.023529412;0;0;0;0
0;1220;2389.333333;0.016666667;0;0;0;0
0;0;753;0;0;0;0;0
0;0;688.1666667;0;0;0;0;0
0;0;811;0.015384615;0;0;0;0
22;0;415.25;0.033333333;0;0;0;0
155.6313131;0;908.013456;0.005;0;0;4.368515556;1
21.33333333;235;2753.378571;0.012676056;0;0;0;0
191;100;2452.582143;0.007246377;0;0;0;0
0;0;5188.5;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;57;0.08;0;0;0;0
0;0;8;0;0;0;0;0
96.5;0;1430.659091;0.01;0;0;0;0
13;0;20;0;0;0;0;0
1388.75;0;1373.75;0;0;0;0;0
0;0;844.25;0;0;0;0;0
0;0;188;0;0;1;0;0
51;0;527.375;0.015555556;0;0;0;0
0;0;0;0.2;0;0;0;0
158;64;1916.761905;0.006451613;0;0;8.772473118;1
0;0;116.3333333;0;0;0;0;0
0;0;397;0;0;0;0;0
0;0;5220.083333;0;0;0;51.46331148;1
0;0;219.3333333;0;0;0;0;0
0;0;74;0;0;0;0;0
0;0;1559.6;0;0;0;0;0
0;0;236.5;0;0;0;0;0
10;0;348.6666667;0.035714286;0;0;0;0
0;0;0;0.2;0;0;0;0
28;47;224.5;0;0;1;0;0
27;0;601.7666667;0;0;0;0;0
0;0;75.5;0.02;0;0;0;0
0;0;153;0;0;0;0;0
15;0;197.2;0;0;0;38.99;1
0;0;3658.5;0.016666667;0;0;0;0
0;0;1162.5;0;0;0;0;0
0;0;556.6;0.014583333;0;0;0;0
0;0;41;0;0;0;0;0
0;0;300.0714286;0;0;0;53.9892;1
1249.809524;205;1626.625433;0.010638298;0;0;6.831792392;0
0;0;69.25;0;0;0;0;0
390;0;1169.1;0.02;0;0;0;0
0;0;402;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;3324.333333;0.011428571;0;0;0;0
215.5238095;70;3037.499952;0.002150538;0;0;0;0
0;0;59;0;0;0;0;0
11;0;1059.253472;0.010588235;0;0;0;0
20;0;720;0;0;0;0;0
0;0;905.4856061;0.0135;0;0;0;0
0;0;0;0.2;0;0;0;0
8;14.33333333;603.6666667;0;0;0;44.67925;1
0;0;328.9166667;0;0;0;59.79014286;1
0;0;778.8166667;0;0;0;0;0
171.25;0;851.5595238;0.004545455;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;227.5;0;0;0;0;0
227.3333333;0;528.9;0;0;0;0;0
0;0;872.8333333;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;835.0666667;0.012571429;0;0;0;0
0;0;82.5;0;0;0;0;0
0;0;13;0;0;0;0;0
0;0;9;0;0;0;0;0
0;0;7;0;0;0;0;0
0;0;94.5;0.033333333;0;0;0;0
86;0;267.3;0;0;0;0;0
0;0;3312.5;0.013793103;0;0;0;0
0;0;75;0;0;0;0;0
7;0;75;0.05;0;0;0;0
0;24;1547.5;0.003703704;0;0;0;0
186.9761905;40;1276.157071;0;0;0;0;0
138;136;2631.1;0;0;0;0;0
0;0;96;0;0;0;0;0
374;0;1370;0;0;0;0;0
61;0;97;0;0;0;0;0
14;0;1380.166667;0;0;0;0;0
38;0;1483.6;0.022916667;0;0;7.103020833;1
0;0;156;0;0;0;0;0
0;0;240.75;0;0;0;0;0
96;0;1238.5;0.005128205;0;1;0;0
615.25;0;2524.719048;0;0;0;0;0
111;0;54;0;0;0;0;0
147;0;35;0;0;1;0;0
0;0;175.9166667;0.013333333;0;0;0;0
53.16666667;0;263.6;0;0;0;0;0
58;0;101.8;0;0;1;0;0
0;0;0;0.2;0;0;0;0
48.5;0;1042.242857;0;0;1;0;0
21;116;613.6666667;0.008333333;0;0;0;0
115.3333333;0;1588.944444;0.003076923;0;0;0;0
0;929;4105.666667;0.002631579;0;0;0;0
8;0;269.5;0;0;0;0;0
32.28571429;0;1236.2;0;0;0;0;0
0;0;1384.016667;0;0;0;0;0
0;0;52;0;0;0;0;0
11;0;664.75;0;0;0;0;0
0;0;64;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;326.5;0.1;0;0;0;0
0;0;1690.977778;0.008;0;0;0;0
0;0;0;0.2;0;0;0;0
277.75;0;178.75;0;0;1;0;0
0;0;407;0;0;0;0;0
241.1666667;0;1513.566667;0.005128205;0;0;0;0
64;0;832.0909091;0;0;1;0;0
25.5;0;250.8333333;0;0;0;0;0
64;0;565.6666667;0;0;1;0;0
0;0;194;0.02;0;0;0;0
130;18;298;0;0;0;19.66818546;0
79;155.5;1743.066667;0;0;0;0;0
84;0;655.9166667;0;0;0;0;0
0;9;1992.833333;0;0;0;9.227000967;1
0;0;0;0.2;0;0;0;0
0;0;308.8635531;0;0;0;0;0
41;0;2749.666667;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;812;0;0;0;0;0
0;0;166;0.028571429;0;0;0;0
14;0;65;0;0;0;0;0
86;0;2450.688095;0.027083333;0;0;0;0
0;0;226.8333333;0;0;0;0;0
618;0;341;0;0;1;34.43601877;1
0;0;226;0;0;0;0;0
11.88888889;0;3510.879903;9.83E-05;0;0;12.01656549;0
51.5;0;6;0;0;0;0;0
7;0;559.4;0.014814815;0;0;0;0
269;0;1109.883333;0.013888889;0;0;0;0
0;0;239;0;0;0;0;0
44.5;0;212.1666667;0;0;1;0;0
3;1165.166667;2820.952419;0.008897485;0;0;0;0
0;0;44;0.066666667;0;0;0;0
0;0;781;0.028571429;0;0;0;0
61;0;175.6666667;0;0;0;0;0
90;0;397.8846154;0.005333333;0;0;0;0
0;0;770.0285714;0.0112;0;0;0;0
102.5;60;1034.975;0;0;0;16.14384;1
0;0;12;0;0;0;0;0
0;0;8;0.066666667;0;0;0;0
17;0;399.8;0.019047619;0;0;0;0
0;0;0;0.2;0;0;0;0
213.3214286;528;2258.430586;0.01;0;0;2.810812468;0
0;0;254;0;0;0;0;0
0;0;67;0;0;0;0;0
0;0;57;0;0;0;0;0
0;0;240.4166667;0;0;0;0;0
0;0;551.1666667;0.025;0;0;0;0
71.5;0;1532.2;0.009929078;0;0;27.26888014;1
0;0;379.5;0.057142857;0;0;0;0
6;0;548.1857143;0.028571429;0;0;0;0
304;0;1735.301587;0.015625;0;0;0;0
0;0;103;0;0;0;0;0
151;0;1406.1;0.004081633;0;0;0;0
199.75;0;331.4;0;0;1;0;0
13.5;28;1759.275703;0.004545455;0;0;0;0
0;0;0;0.2;0;0;0;0
191.2;654.3333333;1204.600433;0.000854701;0;0;11.92009615;1
47;0;1743.366667;0;0;0;78.93483561;1
0;0;236;0;0;0;0;0
197;246;427.0833333;0;0;1;0;0
115.125;0;909.522619;0.004255319;0;0;0;0
312.75;0;702.9166667;0;0;1;0;0
0;0;962.3333333;0;0;0;0;0
724;0;159;0;0;1;0;0
0;0;24;0;0;0;0;0
237.5;142;1569.625;0;0;0;15.88906362;1
66.33333333;0;424.8333333;0;0;0;0;0
0;0;154.8333333;0;0;0;0;0
190;0;758.4428571;0;0;0;0;0
174;18.5;305.875;0;0;1;0;0
227;0;62;0;0;0;0;0
23;0;656.25;0.028571429;0;0;0;0
0;0;617.5;0.006896552;0;0;0;0
0;39;245;0;0;0;11.9955404;1
0;0;20;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;22;0;0;0;0;0
26;0;872.4;0.003508772;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;1372;0.005405405;0;0;0;0
41;0;139;0.022222222;0;0;0;0
74;629;5042.458059;0.003870968;0;0;18.36804916;1
0;0;288.5;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;192;0;0;0;0;0
0;0;954.6666667;0;0;0;0;0
0;0;0;0.2;0;0;0;0
74;0;429;0.013333333;0;0;0;0
0;0;1546.5;0;0;0;0;0
45;0;96.46666667;0;0;0;0;0
112;0;198.8333333;0;0;1;0;0
0;0;181;0.075;0;0;0;0
37;0;208.5;0;0;1;0;0
0;0;517.4238095;0.019047619;0;0;0;0
0;0;358.0666667;0;0;0;0;0
5.5;0;339.25;0;0;0;0;0
50;0;796;0;0;0;0;0
0;0;1759.416667;0;0;0;0;0
26;0;3277;0.015789474;0;0;0;0
0;0;265.1666667;0;0;0;0;0
113.5;0;437.2;0;0;1;0;0
0;0;92;0;0;0;0;0
279;0;0;0;0;0;0;0
228;267.5;1266.267677;0.002197802;0;0;0;0
55;4;19;0;0;1;0;0
112.5;0;1882.113409;0.004;0;0;17.527656;0
17;0;616.4;0;0;0;0;0
0;0;155;0.04;0;0;0;0
0;0;814.5;0;0;1;0;0
0;0;460.4166667;0.019047619;0;0;0;0
0;0;819.5;0;0;0;0;0
8.5;0;659.2;0;0;1;0;0
0;0;427;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;766.5;0;0;1;61.9395;1
0;0;0;0.2;0;0;0;0
0;0;2425;0;0;0;0;0
319.5;0;416.5;0;0;1;0;0
0;0;638.6428571;0.003571429;0;0;0;0
0;132;445;0;0;0;0;0
0;0;81;0;0;0;0;0
0;0;1985;0.03;0;0;0;0
97.5;0;758.1444444;0.04;0;0;0;0
182.0833333;0;310.9;0;0;0;0;0
97;0;482;0.0125;0;0;0;0
0;0;0;0.2;0;0;0;0
34.83333333;0;709.8333333;0.026666667;0;0;0;0
0;57;4547.166667;0.012903226;0;0;8.682741935;0
0;0;1040;0.077777778;0;0;0;0
0;0;223;0.066666667;0;0;0;0
0;14;687.5;0.020512821;0;0;0;0
0;0;632.5833333;0;0;0;0;0
77;0;312;0;0;1;0;0
107;0;2502.966667;0;0;1;9.702113281;0
614.1666667;0;3608.9;0;0;0;7.256219133;0
315.9666667;0;406.575;0.019047619;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;2487.5;0.017105263;0;0;0;0
0;0;212.8;0.019047619;0;0;0;0
11;0;510;0.013636364;0;0;0;0
0;0;0;0.2;0;0;0;0
47.66666667;0;72.33333333;0;0;1;0;0
0;0;96.5;0.030769231;0;0;0;0
0;0;267;0;0;0;0;0
0;0;481.1666667;0;0;0;0;0
0;0;2528;0;0;0;0;0
30;148.5;1530.194444;0.007407407;0;0;10.10222222;0
0;0;289.5;0;0;0;0;0
0;0;10;0;0;0;0;0
0;0;676.75;0.014285714;0;0;0;0
0;0;36;0.05;0;0;0;0
25;0;65;0;0;1;0;0
0;0;630.75;0;0;0;0;0
359;954;336.5;0;0;0;0;0
0;0;77;0;0;0;0;0
59;0;44.66666667;0;0;0;0;0
1347.75;0;3410.875;0.019871795;0;0;0;0
0;0;322.5;0.04;0;0;0;0
0;0;919;0;0;0;0;0
280.95;762.5;2096.911364;0.003333333;0;0;25.96702005;0
100.3;0;2868.133333;0.011428571;0;0;9.162351243;1
23;0;1058.893939;0;0;0;1.865777778;0
53.38095238;0;54.38095238;0;0;1;0;0
8;0;543.5;0.007692308;0;0;0;0
0;0;1089;0.006896552;0;0;0;0
0;60;1131.808333;0.028787879;0;0;0;0
0;0;314.5;0.033333333;0;0;0;0
416.3928571;449.3333333;11301.20416;0;0;0;33.6117917;1
573.5;0;1946.942857;0.005882353;0;0;0;0
0;0;0;0.2;0;0;0;0
465.8333333;71;1558;0.006666667;0;0;7.169617487;0
0;212.5;1198.75;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;927.1666667;0;0;0;0;0
97.64285714;0;584.5958874;0.005128205;0;0;0;0
0;0;135.5;0;0;0;0;0
148;0;292.5;0;0;0;0;0
0;0;68.5;0;0;0;0;0
58;0;364.1666667;0.004;0;0;0;0
0;0;694.3;0.023076923;0;0;0;0
3;0;236;0;0;0;0;0
97.61111111;0;1128.468254;0.038461538;0;0;0;0
57;0;81;0;0;0;0;0
34;0;521.5;0.018181818;0;0;0;0
0;0;496.75;0;0;0;0;0
0;0;104.8333333;0.022222222;0;0;0;0
7;0;45;0;0;0;0;0
37.5;0;492.5;0;0;0;0;0
3;0;624.75;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;116.5;0;0;0;0;0
0;0;144;0.025;0;0;0;0
22.5;0;686.3222222;0;0;0;0;0
0;1411;1411;0;0;0;0;0
0;0;126;0.028571429;0;0;0;0
0;0;185;0;0;0;0;0
0;0;218;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;484.672619;0;0;0;0;0
0;0;439.8333333;0.005555556;0;1;0;0
38;0;733.7;0;0;0;0;0
77;447;1469.702381;0;0;0;22.80152439;0
58.5;125;485.8333333;0;0;1;0;0
0;0;19;0;0;0;0;0
99.33333333;28.5;345.5;0;0;1;0;0
117;0;543.8;0.00952381;0;1;0;0
0;0;48;0;0;0;0;0
16.66666667;0;343.3690476;0.001298701;0;0;0;0
0;0;171;0.022222222;0;0;0;0
81.5;0;2202.579167;0.005797101;0;0;0;0
0;0;299.5;0.036363636;0;0;0;0
0;0;0;0.2;0;0;0;0
0;90;1056.5;0.018181818;0;0;0;0
34;0;627.3083333;0;0;1;0;0
38.5;0;583.8333333;0.002631579;0;0;0;0
0;0;221.5;0;0;0;0;0
0;0;441.7916667;0.004545455;0;0;0;0
156.25;0;1037.355013;0;0;0;0;0
15;0;246;0.018181818;0;0;0;0
0;0;10;0;0;0;0;0
0;18;46;0;0;0;0;0
0;0;801.802381;0;0;0;0;0
19;0;1361.166667;0.005;0;0;0;0
0;0;53;0.04;0;0;0;0
7;0;2648.5;0.0125;0;0;0;0
0;0;27;0.066666667;0;0;0;0
0;0;255;0;0;0;0;0
0;0;221.5;0;0;0;0;0
0;0;225;0.028571429;0;0;0;0
0;0;125;0;0;0;0;0
0;0;323;0.033333333;0;0;0;0
67.5;245;1929.329762;0;0;0;0;0
311.4090909;0;4233.4807;0.006635802;0;0;3.541145833;0
0;0;116;0;0;0;0;0
0;0;0;0.2;0;0;0;0
14;0;1585.666667;0.026666667;0;0;0;0
145;0;644;0;0;1;0;0
0;0;488.5;0.032727273;0;0;0;0
0;15;1235.65;0.041666667;0;0;0;0
43;0;1505.166667;0;0;1;0;0
0;0;495;0;0;0;0;0
84;0;270;0;0;0;0;0
0;0;0;0.2;0;0;0;0
120;0;293;0;0;0;0;0
0;0;2122.656061;0;0;0;9.294775641;1
0;0;1231.160256;0.005714286;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;341.6666667;0.011764706;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;1686.333333;0;0;0;0;0
263;0;212;0;0;1;0;0
0;0;2161.979365;0.00625;0;0;0;0
72.94444444;125.0952381;318.0730159;0.008695652;0;0;0;0
0;0;13;0;0;0;0;0
0;0;390.6666667;0.006666667;0;0;0;0
0;0;253;0;0;0;0;0
18.5;0;208;0.045454545;0;0;0;0
87.33333333;0;1470.853037;0;0;0;0;0
99.60588235;0;2585.61835;0;0;0;6.871308983;1
63;0;400.3333333;0.030769231;0;0;0;0
68;103;808.5;0;0;0;35.99261538;1
0;0;1484;0;0;0;0;0
0;0;505;0;0;0;0;0
68.5;0;1121.205556;0.005405405;0;0;0;0
135;0;141;0;0;0;0;0
0;0;234;0;0;0;0;0
34;0;179;0;0;1;53.13428571;1
176.25;404;2720.671429;0.012962963;0;0;8.833825926;1
315.1449864;147.8666667;6255.017866;0.002531328;0;0;0;0
523.2142857;263;2309.732468;0.003846154;0;0;10.60089168;1
76;0;1936.55;0.004761905;0;0;5.51397619;0
118.6666667;0;694;0.003703704;0;0;27.45138186;1
0;0;125;0.018181818;0;0;0;0
174.5;0;195.5;0;0;0;0;0
40;0;1400.5;0;0;0;0;0
201.1666667;41;914.1666667;0;0;0;0;0
374.875;53;5958.071931;0.002105263;0;0;0;0
56;0;270.4916667;0;0;0;0;0
92.83333333;0;463.8166667;0.002666667;0;0;17.84230699;1
0;0;371.5;0.0125;0;0;0;0
0;0;13;0.133333333;0;0;0;0
4;148.5;185.8333333;0;0;0;0;0
102;0;502.8333333;0;0;0;0;0
0;0;1016.5;0.066666667;0;0;0;0
11;0;253;0;0;1;0;0
0;126;887.0666667;0.0125;0;0;0;0
0;0;3200.366667;0.003448276;0;0;0;0
187;41;1769.697383;0.000606061;0;0;16.71534488;0
0;0;1037.5;0.014285714;0;0;0;0
185;0;1694.75;0.020512821;0;0;0;0
0;0;1643.435516;0.005555556;0;0;2.188718519;1
0;0;383.5;0;0;0;0;0
166.2;371;626.2213675;0.004444444;0;0;0;0
0;0;34;0.1;0;0;0;0
0;0;1070.461905;0;0;0;57.7293604;1
0;0;0;0.2;0;0;0;0
84;0;195;0;0;0;0;0
86;0;1187.833333;0.009090909;0;0;0;0
754.1095238;77;1021.619336;0.004545455;0;0;2.08053355;1
24;0;58;0;0;0;0;0
0;0;771.0833333;0.055555556;0;0;0;0
17.34848485;0;291.2589744;0;0;0;0;0
0;0;695.4;0.014285714;0;0;0;0
15;0;21;0;0;0;0;0
0;0;1594.283333;0;0;0;45.4316713;1
36;395;343.5833333;0;0;1;0;0
34;0;2241.002381;0.002439024;0;0;0;0
0;0;5;0;0;0;0;0
0;0;63;0;0;0;0;0
47;0;825.0833333;0;0;1;10.7929507;1
0;0;1357.61783;0;0;0;0;0
44.5;4;836.3333333;0.005;0;0;0;0
125.5;0;1409.416667;0.002469136;0;0;0;0
0;0;60.5;0.02;0;0;0;0
42;54;420;0;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;389;0;0;0;0;0
95;0;449.5;0.0125;0;0;0;0
56.5;0;202.1666667;0;0;1;0;0
0;0;17;0;0;0;0;0
0;0;689.2857143;0;0;0;0;0
134.9285714;41;2013.595238;0;0;0;8.482727273;1
0;0;933.4166667;0.031932773;0;0;0;0
64;0;371.2272727;0.001666667;0;0;0;0
68;0;306;0;0;1;0;0
20.5;0;719.7380952;0.004347826;0;0;0;0
0;0;0;0.2;0;0;0;0
0;0;56;0;0;0;0;0
11.33333333;0;302.3888889;0;0;0;0;0
